name,shape,parameters,trainable,category
backbone.backbone.fc_t1.weight,"[12, 3]",36,True,Time conditioning
backbone.backbone.fc_t1.bias,[12],12,True,Time conditioning
backbone.backbone.fc_t2.weight,"[3, 12]",36,True,Time conditioning
backbone.backbone.fc_t2.bias,[3],3,True,Time conditioning
backbone.backbone.embedding.0.weight,"[64, 23]",1472,True,Stem + pool/unpool
backbone.backbone.embedding.0.bias,[64],64,True,Stem + pool/unpool
backbone.backbone.enc.enc0.block0.cpe.0.weight,"[64, 3, 3, 3, 64]",110592,True,3D convolution in CPE
backbone.backbone.enc.enc0.block0.cpe.0.bias,[64],64,True,3D convolution in CPE
backbone.backbone.enc.enc0.block0.cpe.1.weight,"[64, 64]",4096,True,CPE linear + norm
backbone.backbone.enc.enc0.block0.cpe.1.bias,[64],64,True,CPE linear + norm
backbone.backbone.enc.enc0.block0.cpe.2.weight,[64],64,True,CPE linear + norm
backbone.backbone.enc.enc0.block0.cpe.2.bias,[64],64,True,CPE linear + norm
backbone.backbone.enc.enc0.block0.norm1.0.weight,[64],64,True,Attention/MLP norms
backbone.backbone.enc.enc0.block0.norm1.0.bias,[64],64,True,Attention/MLP norms
backbone.backbone.enc.enc0.block0.attn.qkv.weight,"[192, 64]",12288,True,Attention QKV + projection
backbone.backbone.enc.enc0.block0.attn.qkv.bias,[192],192,True,Attention QKV + projection
backbone.backbone.enc.enc0.block0.attn.proj.weight,"[64, 64]",4096,True,Attention QKV + projection
backbone.backbone.enc.enc0.block0.attn.proj.bias,[64],64,True,Attention QKV + projection
backbone.backbone.enc.enc0.block0.norm2.0.weight,[64],64,True,Attention/MLP norms
backbone.backbone.enc.enc0.block0.norm2.0.bias,[64],64,True,Attention/MLP norms
backbone.backbone.enc.enc0.block0.mlp.0.fc1.weight,"[256, 64]",16384,True,Block feed-forward MLP
backbone.backbone.enc.enc0.block0.mlp.0.fc1.bias,[256],256,True,Block feed-forward MLP
backbone.backbone.enc.enc0.block0.mlp.0.fc2.weight,"[64, 256]",16384,True,Block feed-forward MLP
backbone.backbone.enc.enc0.block0.mlp.0.fc2.bias,[64],64,True,Block feed-forward MLP
backbone.backbone.enc.enc0.block0.t_mlp.weight,"[64, 3]",192,True,Time conditioning
backbone.backbone.enc.enc0.block0.t_mlp.bias,[64],64,True,Time conditioning
backbone.backbone.enc.enc0.block1.cpe.0.weight,"[64, 3, 3, 3, 64]",110592,True,3D convolution in CPE
backbone.backbone.enc.enc0.block1.cpe.0.bias,[64],64,True,3D convolution in CPE
